CODE_MUNI_7,YEAR,CASES
1300029,2024,327
1300060,2010,0
1300060,2011,0
1300060,2012,1
1300060,2013,1
1300060,2014,4
1300060,2015,0
1300060,2016,0
1300060,2017,0
1300060,2018,0
1300060,2019,0
1300060,2020,0
1300060,2021,3
1300060,2022,0
1300060,2023,0
1300060,2024,3
1300086,2010,0
1300086,2011,19
1300086,2012,0
1300086,2013,1
1300086,2014,0
1300086,2015,1
1300086,2016,0
1300086,2017,0
1300086,2018,0
1300086,2019,0
1300086,2020,0
1300086,2021,0
1300086,2022,0
1300086,2023,0
1300086,2024,0
1300102,2010,3
1300102,2011,24
1300102,2012,5
1300102,2013,1
1300102,2014,96
1300102,2015,26
1300102,2016,1
1300102,2017,4
1300102,2018,2
1300102,2019,0
1300102,2020,1
1300102,2021,6
1300102,2022,5
1300102,2023,3
1300102,2024,35
1300144,2010,17
1300144,2011,16
1300144,2012,0
1300144,2013,4
1300144,2014,10
1300144,2015,14
1300144,2016,31
1300144,2017,2
1300144,2018,0
1300144,2019,0
1300144,2020,0
1300144,2021,0
1300144,2022,0
1300144,2023,9
1300144,2024,0
1300201,2010,0
1300201,2011,0
1300201,2012,1
1300201,2013,6
1300201,2014,0
1300201,2015,0
1300201,2016,0
1300201,2017,0
1300201,2018,0
1300201,2019,15
1300201,2020,15
1300201,2021,3
1300201,2022,296
1300201,2023,30
1300201,2024,229
1300300,2010,4
1300300,2011,27
1300300,2012,0
1300300,2013,1
1300300,2014,0
1300300,2015,0
1300300,2016,23
1300300,2017,1
1300300,2018,3
1300300,2019,0
1300300,2020,0
1300300,2021,1
1300300,2022,0
1300300,2023,0
1300300,2024,17
1300409,2010,368
1300409,2011,249
1300409,2012,61
1300409,2013,32
1300409,2014,9
1300409,2015,106
1300409,2016,22
1300409,2017,18
1300409,2018,2
1300409,2019,9
1300409,2020,98
1300409,2021,62
1300409,2022,25
1300409,2023,21
1300409,2024,167
1300508,2010,0
1300508,2011,4
1300508,2012,0
1300508,2013,0
1300508,2014,0
1300508,2015,0
1300508,2016,2
1300508,2017,0
1300508,2018,0
1300508,2019,0
1300508,2020,0
1300508,2021,0
1300508,2022,0
1300508,2023,0
1300508,2024,0
1300607,2010,1
1300607,2011,18
1300607,2012,6
1300607,2013,3
1300607,2014,1
1300607,2015,0
1300607,2016,20
1300607,2017,12
1300607,2018,33
1300607,2019,614
1300607,2020,649
1300607,2021,151
1300607,2022,1791
1300607,2023,105
1300607,2024,632
1300631,2010,0
1300631,2011,0
1300631,2012,0
1300631,2013,0
1300631,2014,0
1300631,2015,0
1300631,2016,23
1300631,2017,11
1300631,2018,0
1300631,2019,0
1300631,2020,0
1300631,2021,56
1300631,2022,5
1300631,2023,11
1300631,2024,212
1300680,2010,0
1300680,2011,0
1300680,2012,0
1300680,2013,0
1300680,2014,0
1300680,2015,0
